區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
大肚區,0,103.32,10,無,852,0.474105923
南區,12,150.87,7,有,980,0.201526726
烏日區,24,167.45,13,無,935,0.66752161
北屯區,39,99.6,8,無,550,0.980849277
西屯區,0,125.33,5,有,1060,0.305905771
北屯區,4,174.64,7,有,1000,0.398135403
大雅區,0,64.13,6,有,343,0.070617038
北屯區,40,100.18,8,無,495,0.167697298
北屯區,0,166.4,7,有,1192,0.06907051
西區,31,207.75,9,有,1690,0.609459472
大里區,40,99.8,10,無,900,0.689419826
中區,27,51.8,4,無,270,0.049180155
東區,25,31.02,3,無,142,0.634913338
南屯區,3,378.45,8,有,5280,0.099855085
北區,8,584.37,22,有,4100,0.331307064
潭子區,0,89.23,4,有,525,0.467771367
烏日區,7,155.06,7,有,862,0.260206575
龍井區,41,76.86,9,無,612,0.21747561
西屯區,26,135.15,8,無,588,0.962580005
潭子區,0,103.4,5,有,646,0.728915548
梧棲區,29,259.47,10,無,745,0.482843002
太平區,7,175.52,7,有,900,0.250605338
大雅區,33,86.28,6,無,500,0.450167856
西屯區,25,116.57,7,無,518,0.012539076
大里區,0,310.77,8,有,2520,0.376789266
南屯區,0,80.49,5,有,855,0.294768383
大里區,27,160.88,9,無,800,0.389028451
大里區,40,105.06,11,無,328,0.111757721
北屯區,0,155.8,7,有,858,0.856560812
南屯區,0,137.62,6,有,826,0.898509741
北屯區,0,224.35,8,有,1510,0.154982199
龍井區,1,177,10,無,1035,0.578161389
大里區,14,203.56,12,無,1588,0.808115836
沙鹿區,6,255.83,11,無,1500,0.822518092
西屯區,15,105.38,4,有,848,0.995952261
北區,1,296.51,9,有,2438,0.70033791
大里區,2,260.11,7,有,1750,0.441429529
南區,0,153.73,7,有,945,0.219145717
南區,25,310.76,14,有,1280,0.440470827
東區,0,175.09,7,有,1232,0.233865218
北區,6,289.32,8,有,2366,0.233642789
北屯區,0,166.33,7,有,1221,0.423200525
東區,14,134.55,7,有,710,0.569784234
豐原區,0,134.49,7,有,670,0.661432969
潭子區,21,122.07,8,有,590,0.592544267
西屯區,0,121.33,5,有,927,0.330100452
東區,21,141.46,7,無,630,0.901012876
豐原區,31,96.7,7,有,350,0.296344549
東區,30,113.07,7,有,516,0.485486414
豐原區,0,231.27,14,無,2550,0.505946375
北屯區,25,88.86,6,有,480,0.163976696
南屯區,26,109.47,7,有,660,0.791075452
大里區,5,157.87,7,有,800,0.34359361
潭子區,4,114.64,5,有,670,0.37381698
南區,7,186.52,7,有,1550,0.574720087
大里區,1,154.5,7,有,1052,0.51627696
太平區,0,158.81,10,無,1385,0.641762965
北屯區,20,145.75,7,有,880,0.518725722
大里區,21,118.11,7,有,690,0.020945211
烏日區,6,154.03,7,有,786,0.821123069
清水區,0,74.67,5,無,326,0.162421813
大里區,35,173.72,8,無,1280,0.933458655
南屯區,9,346.62,12,無,2350,0.114699811
北屯區,0,172.25,7,有,831,0.134500502
清水區,0,80.13,5,無,348,0.283310654
烏日區,1,227.46,10,無,2260,0.288531196
大雅區,0,155.73,7,有,910,0.057831924
沙鹿區,5,230.03,12,無,1125,0.050724641
西區,26,38.06,3,無,228,0.845332356
北屯區,9,243.49,8,有,2200,0.453862853
豐原區,0,59.62,5,無,398,0.694638615
北屯區,4,142.93,7,有,798,0.764398435
南區,35,70.47,4,無,535,0.951579207
西屯區,33,93.7,7,無,500,0.872176299
南屯區,23,199.94,9,有,1400,0.406701008
西屯區,27,31.22,3,無,175,0.608763916
中區,0,81.68,6,無,638,0.099555379
西區,2,184.65,7,有,2082,0.431336784
烏日區,40,106.64,9,無,520,0.977050587
北屯區,50,74.4,6,無,598,0.235442076
南屯區,0,192.35,7,有,1080,0.283592019
南屯區,27,92.77,4,有,535,0.258767736
北區,20,185.93,8,有,1235,0.242601952
南屯區,11,225.75,7,有,1880,0.361315831
西屯區,27,74.34,4,無,390,0.812633915
太平區,40,184.43,10,無,600,0.638783817
南屯區,26,129.06,7,有,750,0.069207359
南屯區,21,159.82,7,有,1128,0.467546972
清水區,0,123.14,5,有,447,0.562704035
清水區,0,202.77,8,有,847,0.513945692
西屯區,0,58.9,4,無,498,0.95734929
北區,19,239.54,5,有,2870,0.432351097
東區,0,184.38,8,有,1092,0.568278951
大里區,19,148,9,無,1406,0.392849067
東區,0,148.37,7,有,879,0.663984486
北區,26,123.42,7,有,593,0.483724895
大肚區,0,156.56,7,有,930,0.514091208
南屯區,11,418.91,9,有,3388,0.326055551
南屯區,0,108.12,4,有,585,0.868193897
清水區,0,160.08,7,有,575,0.869234406
西屯區,26,38.71,3,無,210,0.803406057
北屯區,0,205.64,7,有,1272,0.096170004
潭子區,45,111.03,16,無,1006,0.225678632
太平區,6,268.16,14,無,2168,0.723895881
南屯區,15,94.45,4,有,750,0.225118453
北屯區,28,125.4,7,有,655,0.920329281
北屯區,27,106.27,4,有,555,0.478642344
南屯區,27,115.75,7,有,632,0.186571219
沙鹿區,0,230.21,13,無,1519,0.730939859
梧棲區,6,178.1,9,無,820,0.198897667
清水區,0,165.68,7,有,625,0.406174082
西屯區,25,124.26,7,有,815,0.678147195
潭子區,2,264.98,13,無,2250,0.251808585
南屯區,1,262.99,9,有,2350,0.484761576
北區,27,49.04,4,無,180,0.567890326
北區,42,101.84,9,無,1050,0.894808661
南屯區,3,229.03,7,有,2400,0.359859523
大雅區,7,116.14,4,有,657,0.506181057
北屯區,0,169.04,7,有,1408,0.854555754
南區,15,90.68,5,無,691,0.7293627
太平區,28,109.48,7,無,370,0.987394599
太平區,27,120.67,7,有,590,0.171986966
北區,39,24.25,3,無,146,0.245072156
南屯區,2,334.33,16,無,4700,0.521817155
北區,27,123.11,7,有,680,0.164870816
西屯區,1,204.73,7,有,1620,0.404590575
西區,3,295.82,8,有,2650,0.331635565
潭子區,24,140.92,6,有,680,0.71256835
北屯區,26,115.44,7,無,450,0.984122344
西區,10,59.66,3,無,618,0.733666137
清水區,0,120.89,5,有,444,0.565330878
南屯區,0,108,4,有,571,0.415207536
南屯區,27,92.59,5,無,595,0.612460806
豐原區,22,210.03,10,無,1216,0.414215257
西屯區,43,130.62,17,無,2350,0.78265125
豐原區,0,160.32,7,有,751,0.396274478
大里區,0,146.63,7,有,883,0.510379562
南區,41,1383.8,105,無,7300,0.314620355
沙鹿區,0,63.3,3,無,298,0.511431985
大里區,29,118.06,7,有,515,0.219131792
大雅區,39,96.9,6,無,300,0.937713744
南屯區,26,178.14,8,無,1550,0.888846529
清水區,0,179.7,7,有,700,0.528099206
北區,25,196.25,8,有,1040,0.863064349
北區,38,88.45,7,無,480,0.136506694
北屯區,0,154.24,7,有,1138,0.327089586
西屯區,21,154.05,8,有,938,0.231183677
北屯區,0,386.31,12,有,3868,0.087181748
西屯區,0,144.05,7,有,1280,0.123332781
大里區,0,141.7,7,有,625,0.908675231
北屯區,5,368.9,7,有,2450,0.33556748
北屯區,0,172.39,7,有,1017,0.102190887
西屯區,6,124.02,6,有,828,0.648145487
南區,21,175.55,8,有,980,0.137774473
西屯區,21,236.14,7,有,1610,0.401475291
外埔區,2,186.05,10,無,1050,0.386290867
北屯區,2,206.17,8,有,1135,0.275462289
神岡區,27,85.69,5,無,150,0.469422607
西區,28,117.91,7,有,701,0.210717167
豐原區,0,133.25,6,有,648,0.319811262
北屯區,5,120.63,5,有,698,0.837387969
大里區,15,123.63,7,無,660,0.377098362
太平區,8,186.52,11,無,1535,0.101058067
北屯區,27,126.41,7,有,656,0.300046779
西區,0,54,5,無,900,0.330634215
西屯區,6,342.34,8,有,2940,0.542505691
南屯區,0,191,7,有,718,0.326943459
西區,0,104.41,5,無,1380,0.090784681
北區,23,33.44,3,無,173,0.06856259
神岡區,21,198.04,8,有,760,0.597056218
烏日區,0,123.72,5,有,700,0.999689902
南屯區,0,113.91,5,有,670,0.1863055
清水區,0,152.57,8,無,760,0.746909531
清水區,3,97.52,5,無,435,0.870141229
豐原區,0,163.3,7,有,905,0.280857616
東區,39,43.03,4,無,175,0.105006699
大里區,6,177.88,7,有,990,0.052180693
大里區,0,68.83,5,無,338,0.894672599
豐原區,0,149.72,7,有,688,0.156194831
太平區,7,97.58,5,無,630,0.723096118
北區,36,104.22,7,無,498,0.334730168
大里區,2,160.24,7,有,1050,0.168723389
太平區,41,103.2,7,無,920,0.289938054
北屯區,29,237.64,8,有,1250,0.057518546
豐原區,45,93.07,10,無,680,0.408795649
西屯區,6,397.56,9,有,4850,0.688128742
大里區,37,94.01,7,無,1050,0.731988978
北屯區,50,77.2,9,無,670,0.78998707
豐原區,47,70.4,6,無,510,0.687298722
北屯區,23,170.53,11,無,775,0.18284346
南區,34,111.11,7,無,300,0.547468017
南區,35,92.68,7,無,430,0.26207675
清水區,0,181.41,7,有,765,0.607423421
西屯區,24,130.35,7,無,535,0.837437577
清水區,0,181.04,7,有,747,0.093947285
大里區,0,146.63,7,有,860,0.680234451
西區,42,81.78,6,無,488,0.611597787
南屯區,4,333.26,8,有,3647,0.785703144
太平區,26,132.76,6,有,500,0.800866883
東勢區,40,186.24,9,無,1209.0619,0.300865997
南屯區,0,149.37,7,有,1550,0.238684131
大甲區,29,138.95,10,無,750,0.310548023
龍井區,0,86.99,4,無,398,0.005223523
北屯區,14,181.26,9,無,1360,0.24120144
太平區,26,105.44,6,無,440,0.81224865
太平區,30,126.1,9,有,580,0.128974773
烏日區,1,185.96,11,無,1286,0.096375602
西屯區,1,256.08,10,有,2350,0.601702314
北區,35,86.99,6,無,430,0.875869586
南區,28,157.73,6,有,850,0.434325663
清水區,0,157.38,7,有,586,0.101010665
西區,0,170.74,7,有,1300,0.738978832
南區,4,176.66,7,有,1430,0.757553351
清水區,0,133.04,4,有,610,0.33997385
南區,26,88.27,7,無,450,0.027217512
大里區,20,110.18,7,無,500,0.750139849
大肚區,0,119.79,5,有,640,0.953900009
清水區,0,153.26,7,有,578,0.293492983
后里區,45,83.81,9,無,640,0.812891641
南區,19,136.87,7,無,640,0.5089517
西屯區,14,193.65,11,無,1408,0.516905214
清水區,0,160.08,7,有,575,0.572486602
烏日區,45,106.88,10,無,520,0.74086972
太平區,26,108.33,7,無,385,0.403012933
東區,0,270.58,6,有,1634,0.985606529
神岡區,41,630.75,15,無,6750,0.755631338
大雅區,6,149.28,10,無,900,0.254320208
霧峰區,39,102.38,7,無,670,0.947109742
東區,39,106.94,10,無,665,0.234431144
大里區,0,119.24,5,有,625,0.187566463
南區,26,164.59,8,有,750,0.978799338
烏日區,0,135.07,6,有,750,0.805166224
沙鹿區,40,113.6,5,無,491.0837,0.281168506
梧棲區,43,111.6,6,無,400,0.728733409
北屯區,20,229.3,9,有,1600,0.743349424
潭子區,26,156.08,8,有,676,0.47535792
北屯區,0,158.71,7,有,877,0.003695452
太平區,0,164.18,6,有,980,0.071940513
大肚區,1,198.12,8,無,1220,0.020028476
北屯區,0,136.73,5,有,786,0.328347696
潭子區,0,105.55,5,有,668,0.105624522
大肚區,5,162.27,11,無,850,0.874019767
西屯區,31,177.56,3,無,500,0.174399796
大里區,0,82.9,4,有,680,0.15897181
西屯區,25,269.87,11,無,4100,0.469862033
北屯區,1,194.14,7,有,1642,0.348129261
北屯區,23,96,6,無,490,0.134613412
沙鹿區,0,110.89,7,無,545,0.196544971
西屯區,33,170.21,11,有,1520,0.814357282
西區,39,261.33,17,無,1234,0.481899739
南區,0,161,7,有,998,0.135163302
太平區,39,146.15,10,無,845,0.880009019
大里區,0,102.09,4,有,668,0.580772325
沙鹿區,5,273.96,13,無,2200,0.785154108
北屯區,40,92.76,7,無,810,0.211356443
大甲區,0,125.05,7,有,560,0.632467021
北屯區,3,267.46,8,有,2060,0.334740933
豐原區,0,130.54,7,有,646,0.459514508
潭子區,16,201.64,11,無,1285,0.348820654
霧峰區,25,362.21,15,無,1050,0.768307279
南屯區,6,152.42,6,有,980,0.301826486
北屯區,21,88.17,5,無,530,0.109827869
大雅區,23,187.61,8,無,1318,0.68483478
西屯區,26,152.65,5,有,798,0.042417389
外埔區,4,255.36,10,無,1267,0.319870041
南屯區,22,125.12,6,有,520,0.786664138
清水區,0,132.02,4,有,595,0.789576607
后里區,42,117.6,8,無,500,0.089594452
西區,1,156.23,7,有,1272,0.653500536
龍井區,40,83.4,7,無,315,0.182609107
南區,0,170.22,7,有,1068,0.24735172
北屯區,4,179.64,7,有,1000,0.26350828
南屯區,1,312.43,8,有,3988,0.919610466
西屯區,47,70.96,7,無,4329.3,0.241465033
潭子區,0,120.42,5,有,802,0.115298905
南屯區,26,112.79,7,無,560,0.6737349
烏日區,0,151.71,7,有,750,0.883277827
西屯區,0,123.43,5,有,1050,0.60579369
清水區,0,158.78,7,有,657,0.223252552
沙鹿區,0,120.37,6,無,680,0.927846234
南區,0,168.41,7,有,1086,0.817742928
西區,20,228.67,7,有,1660,0.862610712
烏日區,0,155.23,7,有,830,0.923648571
北屯區,8,336.65,13,無,3940,0.357698999
大里區,0,86.43,5,無,518,0.32962768
大里區,4,442.07,8,有,1617,0.829095883
南屯區,0,108.12,4,有,613,0.657590121
東區,12,208.06,12,無,1400,0.305512736
西屯區,40,90.36,9,無,1250,0.167269287
東區,27,67.04,5,無,455,0.720784742
太平區,2,194.72,7,有,980,0.90259421
大里區,22,191.3,9,無,1450,0.517103249
龍井區,0,188.3,9,無,1430,0.159500731
南屯區,0,132.93,6,有,766,0.649351427
太平區,0,148.27,6,有,880,0.771694281
北區,26,122.41,7,無,525,0.573404666
南屯區,26,189.77,11,無,2500,0.045618586
北屯區,0,149.86,7,有,1032,0.580659305
北屯區,26,35.57,3,無,178,0.180578787
南區,26,123.59,7,有,660.8,0.756478274
北屯區,0,184.31,8,有,1261,0.791605882
西屯區,0,227.41,8,有,1760,0.317845967
北屯區,33,62.99,5,無,320,0.082399213
北屯區,19,298.42,10,無,1100,0.300701512
北區,25,47.08,3,無,216,0.237544373
清水區,21,204.84,9,無,762,0.608761852
清水區,0,111.14,5,有,470,0.803548859
太平區,40,104.68,7,無,580,0.304341252
大甲區,28,462.06,9,無,680,0.035708692
東區,0,132.34,4,有,731,0.056257101
沙鹿區,5,206.57,10,無,1000,0.974294302
南區,15,191.3,10,無,1528,0.277170449
清水區,0,103.28,4,有,475,0.492264548
南屯區,1,223.49,7,有,2049,0.142576333
西屯區,14,171.44,8,有,1100,0.945307654
烏日區,0,184.16,7,有,853,0.03966411
潭子區,37,116.3,9,無,720,0.186464313
北屯區,0,158.18,7,有,1278,0.70882488
太平區,23,105.55,7,無,425,0.424839397
中區,0,85.73,6,有,562,0.492580478
大雅區,26,132.79,7,有,650,0.756114676
東區,0,159.11,7,有,1138,0.547821833
潭子區,0,120.42,5,有,750,0.520755159
新社區,41,94.5,7,無,342,0.443736086
豐原區,0,268.81,11,無,1750,0.213239592
大里區,1,124.31,4,有,845,0.754740309
南屯區,38,99.72,6,無,800,0.920669391
北屯區,0,126.27,5,有,782,0.473494116
西屯區,13,117.62,4,有,800,0.296357508
大里區,0,123.65,5,有,712,0.18851656
西區,27,145.18,7,有,930,0.933325525
南屯區,2,134.14,7,有,1220,0.241558522
大里區,0,141.7,7,有,656,0.962094074
西區,22,130.36,7,無,740,0.118619
太平區,41,100.38,9,無,670,0.390374144
南區,26,121.08,8,無,550,0.5866158
北屯區,0,163.11,7,有,1360,0.881571249
西區,24,102.61,5,無,715,0.369953535
沙鹿區,0,98.66,5,有,483,0.616597034
烏日區,0,150.73,7,有,723,0.436529406
清水區,0,111.87,5,有,423,0.655712854
南區,22,90.99,5,有,555,0.217233558
北屯區,35,98.36,6,無,440,0.232855178
豐原區,0,140.15,4,有,810,0.740052518
沙鹿區,4,241.87,11,無,1605,0.56112051
中區,43,35.28,3,無,110,0.485077224
南區,5,179.27,7,有,1085,0.309497231
北屯區,29,235.76,7,有,888,0.116783717
北屯區,0,151.02,7,有,900,0.166544733
清水區,0,183.62,7,有,740,0.145643647
潭子區,0,166.64,7,有,1107,0.672751863
龍井區,26,276.32,12,有,1000,0.593641428
北屯區,31,198.6,10,無,1250,0.990098613
北屯區,20,155.95,8,無,920,0.191232697
南屯區,2,159.67,7,有,1100,0.07501585
北區,12,32.34,3,無,270,0.415887792
西屯區,0,90.91,5,有,905,0.037394756
西屯區,22,153.23,8,有,1050,0.322502412
清水區,0,159.04,7,有,582,0.356644451
清水區,0,158.87,7,有,646,0.622587626
北區,0,410.8,15,無,5000,0.611556233
北屯區,11,127.65,6,有,750,0.897932705
南區,23,108.01,5,有,510,0.988433419
神岡區,0,229.87,10,無,1590,0.148710703
豐原區,32,130.2,6,無,304.067,0.942293161
南屯區,10,292.21,8,有,2228,0.770379979
梧棲區,1,195.29,11,無,1450,0.328161761
西屯區,29,136.94,7,有,680,0.748789928
太平區,28,126.06,7,無,442,0.798053506
北區,4,57.41,5,有,588,0.55570945
南屯區,0,289.36,8,有,2655,0.250453665
西屯區,31,196.56,12,無,1530,0.710101933
北屯區,0,149.86,7,有,971,0.632210212
北區,41,69.58,6,無,413,0.66482032
西屯區,39,81.67,6,無,500,0.073536545
北屯區,16,139.26,6,有,880,0.15684322
北屯區,6,139.59,7,有,866,0.025037794
南屯區,45,93.36,7,無,2300,0.926420976
西屯區,24,239.87,8,有,600,0.643350088
大里區,23,378.23,15,無,2000,0.140496954
烏日區,1,185.96,10,無,1276,0.245682764
北屯區,39,97.57,8,無,400,0.805932924
大里區,41,115.96,11,無,1180,0.242855044
大甲區,0,120.89,7,有,560,0.615220389
西屯區,0,162.34,7,有,1294,0.899852677
太平區,0,163.72,6,有,970,0.307013287
西屯區,24,130.35,7,無,570,0.013896936
烏日區,26,131.56,7,有,610,0.110339071
北屯區,35,119.53,9,無,1520,0.763607091
南區,35,69.67,4,無,250,0.091401011
北屯區,3,70.85,3,有,510,0.637411944
西區,25,144.82,4,無,1300,0.73393093
南屯區,0,69.58,4,無,460,0.893328202
東區,0,160.28,6,有,988,0.264327037
南屯區,21,87.7,4,無,620,0.07353957
太平區,0,146.17,7,有,852,0.741102278
大里區,24,170.94,11,無,1175,0.464198821
大里區,50,64,5,無,428,0.09466706
南區,43,103.89,7,無,550,0.171145092
西區,37,49.58,3,無,200,0.618009433
大里區,0,128.84,4,有,819,0.361154389
東區,0,118.63,4,有,642,0.271503608
清水區,0,131.09,8,無,618,0.114245073
豐原區,29,208.15,8,有,770,0.289052299
南屯區,28,78.94,6,無,530,0.727723663
南屯區,1,251.42,9,有,2277,0.772391437
西屯區,1,121.72,4,有,945,0.147533865
南屯區,0,69.58,4,無,475,0.722432024
太平區,40,69.44,8,無,910,0.065554284
清水區,0,269.66,8,無,1720,0.804748462
南屯區,2,134.14,7,有,1188,0.784359974
南區,23,57.01,5,有,260,0.493917383
梧棲區,27,163.26,7,有,460,0.514560667
神岡區,12,160.62,9,無,988,0.832411174
龍井區,21,129.11,8,無,250,0.422766973
北區,39,44.67,4,無,343,0.349499317
北屯區,0,155.36,7,有,983,0.273271334
南屯區,47,98,8,無,850,0.26962965
烏日區,0,218.28,12,無,3130,0.552497365
北屯區,0,166.46,7,有,1082,0.179755588
龍井區,27,274.34,12,無,763,0.598528529
北區,38,189.1,15,無,1350,0.905723564
大里區,0,147.59,7,有,868,0.754019959
潭子區,14,84.43,5,無,445,0.904859202
東區,0,118.8,5,有,735,0.401934506
烏日區,0,165.11,8,有,830,0.611389512
大里區,29,145.56,8,有,580,0.380803445
西屯區,4,216.74,8,有,2057,0.767548994
西屯區,0,121.33,5,有,937,0.992816044
南屯區,0,152.86,7,有,900,0.489621235
沙鹿區,0,155.87,7,有,810,0.516471739
潭子區,0,127.1,5,有,820,0.635830454
北區,54,75.65,7,無,680,0.018305023
中區,0,57.83,6,無,305.682,0.040716498
大里區,3,169.78,7,有,765,0.462117576
太平區,0,149.62,7,有,792,0.115312759
清水區,0,148.03,11,無,882,0.193107868
北屯區,25,79.33,5,無,412,0.304203219
清水區,0,157.38,7,有,606,0.553318357
南屯區,0,108.12,4,有,576,0.477456705
西屯區,0,131.92,6,有,1024,0.465149321
清水區,0,108.38,5,有,440,0.995358629
東區,0,147.01,7,有,850,0.174896216
北區,26,137.35,7,有,710,0.347518217
大里區,30,301.91,12,無,1000,0.923523059
太平區,39,111.66,9,無,1180,0.267087125
北屯區,4,166.45,7,有,965,0.980901427
烏日區,0,185.96,10,無,1250,0.26206024
烏日區,6,156.24,7,有,785,0.697990575
東區,0,126.19,5,有,759,0.647623266
北屯區,6,226.7,8,有,1100,0.746375854
潭子區,24,195.59,11,無,1160,0.490631771
西屯區,41,71.56,4,無,420,0.38950778
南屯區,0,157.81,7,有,933,0.604785108
南區,6,191.48,7,有,1126,0.250367886
西屯區,24,156.69,7,有,800,0.067605023
東區,0,151.85,7,有,920,0.774972822
潭子區,13,99.19,6,無,610,0.330586772
潭子區,46,122.4,10,無,1680,0.061978595
烏日區,2,157.15,6,有,1106,0.206691079
西屯區,24,142.26,7,無,650,0.600682308
大里區,0,117.15,5,有,585,0.717652013
西區,27,114.08,7,有,600,0.585138328
西屯區,0,101.63,4,有,820,0.292122105
霧峰區,26,104.29,5,有,340,0.470346527
西屯區,0,69.77,4,無,692,0.685130342
豐原區,11,361.48,13,無,2760,0.630863392
梧棲區,0,185.33,9,無,998,0.879652242
西屯區,0,101.32,3,有,830,0.866113428
南屯區,0,149.37,7,有,1556,0.823163282
南屯區,25,247.44,13,無,1320,0.191899649
西區,6,259.91,8,有,2200,0.140911257
南區,43,94.69,7,無,350,0.1669584
南屯區,5,263.19,13,無,2900,0.987457894
西屯區,26,153.22,7,有,930,0.339581111
西屯區,12,42.06,3,無,265,0.616428051
北屯區,16,180.4,10,無,1421,0.142582872
南區,39,53.47,5,無,230,0.133969957
北屯區,9,155.56,7,有,820,0.229791651
西區,5,234.02,7,無,2400,0.134972878
清水區,0,182.78,10,無,1260,0.285742203
西區,5,334.72,14,無,3000,0.517396261
北屯區,13,172.41,33,無,2530,0.260001733
沙鹿區,35,109.29,5,無,137.104,0.232347788
西屯區,14,303.17,8,有,2640,0.694059452
北屯區,0,164.5,7,有,1035,0.902524391
西屯區,32,88.96,7,無,430,0.657398152
西屯區,0,112.1,5,有,928,0.264397725
大肚區,0,243.73,12,無,1590,0.542197545
清水區,0,177.01,10,無,978,0.786097412
太平區,4,146.11,7,有,828,0.816342575
龍井區,0,167.48,10,無,810,0.261805083
太平區,0,155.73,7,有,889,0.31043647
大里區,0,91.58,4,有,695,0.196103314
北屯區,59,82.34,5,無,1819,0.016255443
太平區,30,63.91,5,無,262,0.402317785
大肚區,0,172.64,10,無,936,0.639493992
后里區,36,132.62,8,無,294.7926,0.275697912
南區,0,167.32,7,有,1070,0.395032263
西屯區,39,89.1,14,無,1400,0.999745912
北屯區,0,224.79,8,有,1492,0.341274985
西區,21,111.87,7,有,698,0.894091207
北屯區,4,118.42,5,有,1000,0.969917539
西屯區,27,276.59,4,有,1250,0.056438039
南屯區,26,119.68,7,無,510,0.799825772
大甲區,0,80.5,6,無,320,0.166169438
西屯區,24,85.83,4,有,610,0.99676074
東區,5,153.22,7,有,980,0.250607006
南屯區,25,73.58,6,無,375,0.381593314
大里區,0,125.01,5,有,727,0.2750245
大里區,30,136.5,8,無,930,0.264892615
大里區,1,124.75,5,有,740,0.584147227
龍井區,1,175.21,9,無,920,0.53927241
西屯區,11,206.43,7,有,1453,0.478404173
南屯區,4,182.76,7,有,1240,0.209215451
北屯區,29,127.3,7,有,603.8,0.130397265
南屯區,22,159.19,5,有,950,0.294536309
北屯區,0,130.39,4,有,838,0.711087246
大里區,0,110.96,5,有,548,0.853853667
北屯區,16,218.42,11,無,2075,0.970852753
大里區,27,178.95,9,無,930,0.854046347
西區,37,195.69,6,有,986,0.389563042
西屯區,7,114.09,6,有,900,0.422986466
南區,23,111.71,7,無,580,0.680743661
潭子區,3,114.64,5,有,650,0.654736009
梧棲區,0,175.66,11,無,870,0.63448434
南屯區,14,245.84,8,有,1650,0.579551006
清水區,41,115.74,10,無,370,0.720447455
神岡區,45,71.04,7,無,780,0.455755969
沙鹿區,0,72.66,5,無,328,0.840998941
北屯區,25,63.46,4,無,350,0.082545136
大里區,21,160.72,9,無,796,0.184170105
西區,0,122.47,7,有,850,0.730740598
西屯區,28,200.73,8,有,1036,0.636780859
太平區,0,214.96,12,無,1600,0.042712078
南屯區,0,136.11,6,有,760,0.926983868
潭子區,40,148.48,7,無,1052,0.198607319
大里區,42,89.34,8,無,300,0.435202819
西屯區,26,108.8,7,無,563,0.629972053
外埔區,0,98.01,5,無,380,0.948146196
東區,7,107.92,4,有,520,0.813260493
豐原區,51,83.4,5,無,450,0.389471956
清水區,11,359.46,8,無,750,0.73767858
西屯區,25,48.07,3,無,298,0.788961071
南屯區,8,236.61,8,有,1996,0.046435123
潭子區,0,166.64,7,有,1056,0.390977653
西屯區,0,137.7,5,有,1100,0.555518829
豐原區,22,109.95,7,有,530,0.122417188
西屯區,26,135.77,7,有,820,0.98355746
梧棲區,27,156.78,7,無,403,0.916070452
北區,1,325.46,9,有,2410,0.008270164
北屯區,4,166.45,7,有,958,0.702473697
太平區,6,142.14,7,有,940,0.203794143
西屯區,27,20.27,3,無,140,0.661247415
北屯區,10,70.55,3,無,520,0.510343464
南屯區,1,223.14,7,有,2070,0.884302703
北屯區,5,214.43,7,有,1890,0.980963224
豐原區,44,35.87,9,無,240,0.546353451
西屯區,3,101.82,4,有,1105,0.464297285
南屯區,24,86.79,5,無,380,0.642430105
北區,34,116.84,6,無,263.5536,0.932545864
北屯區,0,151.02,7,有,828,0.909842832
西屯區,5,116.17,6,有,795,0.015710079
太平區,3,161.11,7,有,920,0.804798896
西區,10,364.98,6,有,4280,0.600333134
太平區,29,144.77,8,有,620,0.336726759
大里區,27,115.18,7,有,596,0.789236112
大里區,1,124.75,5,有,760,0.583830387
北區,15,122.93,5,有,680,0.331265418
北屯區,27,154.58,7,有,850,0.473898054
東區,0,175.09,7,有,1220,0.204921246
龍井區,0,175.18,10,無,825,0.954718491
北屯區,12,266.89,9,有,2500,0.186316096
南屯區,0,69.58,4,無,460,0.078023155
中區,43,27.8,3,無,100,0.411712513
大里區,6,317.05,13,無,2950,0.25861815
北屯區,0,138.27,7,有,978,0.670743054
南區,27,30.25,3,無,165,0.016578466
西區,11,418.42,11,有,3800,0.527381322
大里區,0,127.94,5,有,675,0.866389435
太平區,0,172.83,11,無,1230,0.934090403
北屯區,0,124.91,5,有,1050,0.458828858
大里區,26,145.73,8,無,530,0.656561079
南區,27,203.46,9,有,1000,0.27980432
西區,47,130.72,10,無,3152,0.622019748
南區,43,94.69,7,無,370,0.480956438
北屯區,0,156.9,7,有,1018,0.206519148
烏日區,0,375.3,12,無,3762,0.263453161
太平區,40,122.12,9,無,800,0.779742896
北區,43,55.13,5,無,400,0.122587782
西屯區,0,231.9,6,有,3354.4642,0.493676413
大肚區,26,197.53,7,無,713,0.714563196
烏日區,0,127.02,5,有,619,0.772533269
北屯區,1,237.72,8,有,1900,0.489025159
北屯區,6,116.22,4,有,785,0.815713354
清水區,0,76.67,5,無,322,0.010514359
清水區,0,119.04,4,有,492.415,0.116348769
大里區,0,153.19,7,有,785,0.70802229
大里區,1,125.34,5,有,580,0.098683675
潭子區,21,143.57,7,有,650,0.586173905
梧棲區,1,157.33,10,無,1065,0.566351732
南屯區,29,39.29,3,無,130,0.210394025
清水區,0,158.87,7,有,631,0.360973678
太平區,2,165.25,7,有,886,0.719376831
南屯區,0,160.58,7,有,928,0.881818453
北屯區,0,131.82,5,有,1130,0.268099611
清水區,0,138.21,5,有,579,0.430432033
北屯區,16,77.1,5,無,626,0.711074852
大里區,0,141.7,7,有,800,0.548815138
沙鹿區,8,240.7,11,有,1580,0.724849813
南屯區,4,190.15,6,有,1520,0.509806887
沙鹿區,1,173.74,11,無,1070,0.128216654
