區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
北屯區,28,75.24,4,無,330,0.976775069
外埔區,6,161.2,11,無,900,0.0171281
東區,0,194.08,7,有,1250,0.823182219
西區,42,56.57,5,無,438,0.724194085
西屯區,0,129.14,5,有,1015,0.522762723
神岡區,0,160.51,10,無,812,0.07964414
北屯區,0,167.2,7,有,1188,0.525966002
南屯區,0,173.55,7,有,1737,0.75881369
大里區,0,121.69,5,有,608,0.941162855
梧棲區,0,153.21,11,無,950,0.570005468
北屯區,27,151.35,7,有,730,0.23275604
南屯區,0,188.61,7,有,1842,0.132342091
北屯區,26,151.97,7,有,810,0.436124281
東區,36,75.53,7,無,700,0.054208272
外埔區,4,105.36,5,無,498,0.766444602
南屯區,25,111.75,7,有,715,0.918170371
北屯區,31,111.92,7,無,550,0.333409502
西屯區,26,20.64,3,無,105,0.222386723
北屯區,24,159.36,7,有,900,0.919636354
清水區,0,146.36,6,有,689,0.800707383
大雅區,34,105.03,9,無,833,0.659568071
太平區,0,171.17,9,無,1000,0.145414446
大里區,0,80.32,5,無,438,0.639868132
大里區,0,125.57,5,有,680,0.920983258
東區,25,136.42,7,有,588,0.516429388
北屯區,28,233.59,9,有,980,0.433970431
西屯區,14,157,7,有,1340,0.310492349
太平區,0,163.72,6,有,998,0.236794939
西屯區,0,121.33,5,有,927,0.820860221
南屯區,0,410.14,9,有,6680,0.145798042
南屯區,0,109.37,5,有,1047,0.634266702
東區,0,160.28,6,有,929,0.815139049
北屯區,36,76.88,6,無,468,0.691370193
北屯區,0,152.22,7,有,905,0.603159321
大里區,29,113.76,7,無,475,0.696150188
北區,37,79.14,7,無,430,0.702417449
豐原區,28,106.06,7,無,485,0.273931732
南屯區,14,197.14,6,有,1780,0.824014508
豐原區,0,152.57,7,有,1022,0.634627768
太平區,7,165.04,7,有,840,0.378801755
沙鹿區,1,114.1,5,有,620,0.78721659
西屯區,0,123.02,5,有,1130,0.199153661
南屯區,25,145.77,7,有,950,0.745882873
石岡區,1,180.41,10,無,1030,0.336414657
豐原區,0,139,4,有,850,0.361510205
北區,21,135.74,7,有,780,0.536547421
北屯區,30,107.32,7,無,560,0.152848896
霧峰區,15,217.93,16,無,880,0.9976157
霧峰區,6,246.65,12,無,2180,0.660709848
南屯區,21,214.19,7,有,1280,0.532026046
西屯區,15,348.35,11,有,2650,0.429603388
大雅區,25,197.87,12,無,1240,0.663876776
南屯區,0,108.12,4,有,582,0.542383933
西區,22,228.94,8,有,1904,0.280118956
北屯區,0,219.86,7,有,1267,0.926807816
北屯區,0,216.05,8,有,2052,0.180545792
西屯區,36,104.28,7,無,850,0.040022165
烏日區,0,127.06,6,有,643,0.421387506
北屯區,0,242.2,9,有,1398,0.414864894
潭子區,26,113.9,7,有,600,0.599022044
太平區,23,123.22,7,有,630,0.910034822
北屯區,2,264.38,8,有,2100,0.909128975
西屯區,13,151.05,7,有,1368,0.675244417
太平區,0,163.45,10,無,1488,0.691332562
南屯區,3,361.14,8,有,4808,0.920778236
大里區,0,146,7,有,880,0.906415075
北區,48,98.67,7,無,1268,0.879129059
北區,39,64.09,21,無,500,0.993436262
南屯區,39,108.06,8,無,1150,0.181337693
南屯區,26,125.26,7,有,550,0.725917577
大里區,0,101.13,4,有,665,0.348085818
烏日區,0,180.01,7,有,881,0.982223838
南區,0,173.02,7,有,1107,0.032762145
北屯區,0,205.42,7,有,1160,0.388298238
清水區,0,212.45,9,無,1295,0.228150992
北屯區,25,284.31,11,有,1690,0.852149146
大里區,28,178.95,10,無,960,0.050975392
北屯區,27,120.57,7,有,690,0.72718851
西區,41,73.61,9,無,450,0.90026258
大里區,0,96.53,5,有,530,0.398922587
南屯區,26,106.58,7,無,480,0.71443626
南屯區,0,212.1,7,有,1936,0.333369653
西屯區,23,151.22,7,有,850,0.749999484
清水區,2,148.73,7,有,620,0.818346874
烏日區,7,123.63,4,有,663,0.043785973
大里區,1,154.47,7,有,902,0.441754918
北屯區,0,122.74,5,有,585,0.660196097
北區,41,88.95,5,無,333,0.239436641
北屯區,10,88.8,3,有,650,0.600352193
潭子區,29,303.37,8,有,950,0.19340852
大雅區,26,159.9,10,無,770,0.680520134
北屯區,23,111.66,7,無,570,0.767807018
南屯區,26,110.34,7,有,610,0.76291918
西屯區,26,162.13,6,有,835,0.528176805
南區,37,31.09,3,無,106,0.550001739
南屯區,0,123.46,4,有,1030,0.1662279
大甲區,4,307.23,11,有,2180,0.351033774
南區,16,131.43,7,有,900,0.809422674
西屯區,14,110.77,7,無,900,0.280151352
北屯區,5,142.74,7,有,830,0.839652065
西區,1,155.48,7,有,1360,0.823346378
大雅區,0,159.63,7,有,1180,0.392068337
太平區,4,171.37,7,有,927,0.788995139
北屯區,28,133.25,7,無,738,0.072079983
沙鹿區,3,154.62,10,無,935,0.509485635
南屯區,13,141.35,7,有,1330,0.385588803
豐原區,0,166.36,6,有,1010,0.634850697
西屯區,9,233.17,8,有,1832,0.438431271
北屯區,0,215.78,9,有,1265,0.674728333
南屯區,2,373.97,9,無,4350,0.490113625
南屯區,15,213.92,7,有,1888,0.596835648
大雅區,0,160.36,7,有,1035,0.641670877
南屯區,4,214.02,7,有,1450,0.033046952
太平區,41,97.04,7,無,685,0.089195
龍井區,1,217.74,9,無,1000,0.618689828
太平區,40,106.08,8,無,1365,0.181422831
烏日區,0,165.67,8,有,920,0.727155709
烏日區,1,188.65,11,無,1675,0.711819283
北區,23,46.91,3,無,240,0.463664884
大里區,0,173.38,7,有,1033,0.019211181
大里區,0,198.13,7,有,1148,0.316864938
沙鹿區,0,81.18,4,有,393,0.555525913
西屯區,0,164.61,7,有,1160,0.977277664
太平區,27,183.18,10,有,770,0.421897705
南屯區,28,99.42,5,無,628,0.396442873
太平區,37,78.61,4,無,240,0.099113576
南屯區,0,132.33,6,有,750,0.39720382
大里區,0,130.22,4,有,760,0.656909158
清水區,0,157.38,6,有,627,0.103930672
北屯區,0,166.33,7,有,1115,0.834317668
清水區,0,111.82,5,有,446,0.206666463
南屯區,24,89.75,5,有,688,0.63907635
太平區,0,180.38,10,無,1300,0.179008887
西屯區,0,96.45,3,有,799,0.615323846
清水區,31,88.06,10,無,580,0.32032925
神岡區,0,229.87,10,無,1540,0.176951429
南區,27,127.78,7,無,650,0.099471914
南區,27,79.39,5,無,390,0.415223077
北屯區,14,297.84,13,無,2920,0.16148784
大里區,4,238.98,7,有,1410,0.361193328
梧棲區,28,126.22,7,有,345,0.258155256
東區,4,175.21,7,有,1078,0.978866603
大里區,0,119.8,5,有,750,0.269099468
南屯區,0,63.03,3,無,595,0.348416132
西屯區,0,90.91,5,有,968,0.413417997
西屯區,28,123.77,7,有,542,0.166141159
大里區,27,170.53,8,有,590,0.590426869
